id	description	age_determinations	due_to_s_expression
Urgent: dizziness with cardiac or neurological signs	Urgent: dizziness with cardiac or neurological signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Orthopnea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Leg swelling symptom"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Injury of head"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to stand"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea and vomiting"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abnormal ocular motility"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pulse slow"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pulse irregular"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (< (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 50)))"
Urgent: arm pain with traumatic injury	Urgent: arm pain with traumatic injury	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in upper limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Traumatic injury"" ""disorder"")))"
Urgent: probable meningitis	Urgent: probable meningitis	{adult}	"(diagnosis (snomed_concept ""Meningitis"" ""disorder"") probable)"
Urgent: jaundice with haemodynamic or hepatic danger signs	Urgent: jaundice with haemodynamic or hepatic danger signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Jaundice"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pale conjunctiva"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Acute abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Easy bruising"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of tendency to bleed"" ""finding"")) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60)))"
Diagnose probable abdominal aortic aneurysm	Diagnose probable abdominal aortic aneurysm	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Backache"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pulsatile mass of abdomen"" ""finding"")))"
Diagnose probable serious drug reaction	Diagnose probable serious drug reaction	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption caused by drug"" ""disorder"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blister of skin"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Jaundice"" ""finding""))))"
Diagnose probable orbital cellulitis	Diagnose probable orbital cellulitis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling of eyelid"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in eye"" ""finding"")))"
Diagnose probable anaphylaxis	Diagnose probable anaphylaxis	{adult}	"(or (and (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Fish"" ""substance"")) (allergy (snomed_concept ""Fish"" ""substance""))) (and (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Milk"" ""substance"")) (allergy (snomed_concept ""Milk"" ""substance""))) (and (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Eggs (edible)"" ""substance"")) (allergy (snomed_concept ""Eggs (edible)"" ""substance""))) (and (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Tree nut"" ""substance"")) (allergy (snomed_concept ""Tree nut"" ""substance""))) (and (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Peanut"" ""substance"")) (allergy (snomed_concept ""Peanut"" ""substance""))) (and (or (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Fish"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Milk"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Eggs (edible)"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Tree nut"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Peanut"" ""substance""))) (any2 (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Itching"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption"" ""morphologic abnormality"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (or (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Collapse"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding""))))) (and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Itching"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption"" ""morphologic abnormality"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Collapse"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")))))"
Diagnose probable dehydration	Diagnose probable dehydration	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diarrhea"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Xerostomia"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Decreased skin turgor"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Sunken eyes"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 100)))"
Diagnose possible snake bite poisoning	Diagnose possible snake bite poisoning	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Snake bite - wound"" ""disorder"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Snake venom"" ""substance"")))"
Diagnose probable acute lower limb ischemia	Diagnose probable acute lower limb ischemia	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Foot pain"" ""finding"") (qualifier (snomed_concept ""Sudden"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Absent pulse"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure"")))))"
Diagnose possible acute lower limb ischemia	Diagnose possible acute lower limb ischemia	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in lower limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Absent pulse"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of limb"" ""finding""))))"
Diagnose probable acute pancreatitis	Diagnose probable acute pancreatitis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Upper abdominal pain"" ""finding"") (qualifier (snomed_concept ""Pain radiating to lumbar region of back"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding""))))"
Diagnose probable facial cellulitis	Diagnose probable facial cellulitis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure""))) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38))"
Diagnose probable cholera	Diagnose probable cholera	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diarrhea"" ""finding"") (qualifier (snomed_concept ""Watery"" ""qualifier value""))) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Vibrio cholerae"" ""organism"")))"
Diagnose probable paraphimosis	Diagnose probable paraphimosis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in penis"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Penile swelling"" ""disorder"")))"
Diagnose possible meningococcal disease	Diagnose possible meningococcal disease	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purpuric rash"" ""disorder"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (active_condition (snomed_concept ""Fever"" ""finding""))))"
Diagnose fever	Diagnose fever	{adult}	"(>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38)"
